substrate,rule,donor_id,donor_kind,intervention,eta_multiplier,epsilon_multiplier,death_count,success_count,success_rate,observer_success_counts,observer_success_rates,n
life,18444,life-18444-6-6,maintainer,intact,2,0,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,intact,2,1,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,intact,2,2,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,structured_half,0,0,1,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,structured_half,0,1,1,0,0.0,"{""components"": 0, ""primary"": 0, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 0.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,structured_half,0,2,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,structured_half,1,0,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,structured_half,1,1,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,structured_half,1,2,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,structured_half,2,0,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,structured_half,2,1,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
life,18444,life-18444-6-6,maintainer,structured_half,2,2,0,1,1.0,"{""components"": 0, ""primary"": 1, ""terminal2x2"": 0}","{""components"": 0.0, ""primary"": 1.0, ""terminal2x2"": 0.0}",1
